organic,cation,anion,organic_label,cation_label,anion_label
guanidinium,Ge,F,8,1,1
guanidinium,Ge,Cl,8,1,2
guanidinium,Ge,Br,8,1,3
guanidinium,Ge,I,8,1,4
guanidinium,Sn,F,8,2,1
guanidinium,Sn,Cl,8,2,2
guanidinium,Sn,Br,8,2,3
guanidinium,Sn,I,8,2,4
guanidinium,Pb,F,8,3,1
guanidinium,Pb,Cl,8,3,2
guanidinium,Pb,Br,8,3,3
guanidinium,Pb,I,8,3,4
hydroxylammonium,Ge,F,9,1,1
hydroxylammonium,Ge,Cl,9,1,2
hydroxylammonium,Ge,Br,9,1,3
hydroxylammonium,Ge,I,9,1,4
hydroxylammonium,Sn,F,9,2,1
hydroxylammonium,Sn,Cl,9,2,2
hydroxylammonium,Sn,Br,9,2,3
hydroxylammonium,Sn,I,9,2,4
hydroxylammonium,Pb,F,9,3,1
hydroxylammonium,Pb,Cl,9,3,2
hydroxylammonium,Pb,Br,9,3,3
hydroxylammonium,Pb,I,9,3,4
formamidinium,Ge,F,10,1,1
formamidinium,Ge,Cl,10,1,2
formamidinium,Ge,Br,10,1,3
formamidinium,Ge,I,10,1,4
formamidinium,Sn,F,10,2,1
formamidinium,Sn,Cl,10,2,2
formamidinium,Sn,Br,10,2,3
formamidinium,Sn,I,10,2,4
formamidinium,Pb,F,10,3,1
formamidinium,Pb,Cl,10,3,2
formamidinium,Pb,Br,10,3,3
formamidinium,Pb,I,10,3,4
tetramethylammonium,Ge,F,11,1,1
tetramethylammonium,Ge,Cl,11,1,2
tetramethylammonium,Ge,Br,11,1,3
tetramethylammonium,Ge,I,11,1,4
tetramethylammonium,Sn,F,11,2,1
tetramethylammonium,Sn,Cl,11,2,2
tetramethylammonium,Sn,Br,11,2,3
tetramethylammonium,Sn,I,11,2,4
tetramethylammonium,Pb,F,11,3,1
tetramethylammonium,Pb,Cl,11,3,2
tetramethylammonium,Pb,Br,11,3,3
tetramethylammonium,Pb,I,11,3,4
hydrazinium,Ge,F,12,1,1
hydrazinium,Ge,Cl,12,1,2
hydrazinium,Ge,Br,12,1,3
hydrazinium,Ge,I,12,1,4
hydrazinium,Sn,F,12,2,1
hydrazinium,Sn,Cl,12,2,2
hydrazinium,Sn,Br,12,2,3
hydrazinium,Sn,I,12,2,4
hydrazinium,Pb,F,12,3,1
hydrazinium,Pb,Cl,12,3,2
hydrazinium,Pb,Br,12,3,3
hydrazinium,Pb,I,12,3,4
ammonium,Ge,F,13,1,1
ammonium,Ge,Cl,13,1,2
ammonium,Ge,Br,13,1,3
ammonium,Ge,I,13,1,4
ammonium,Sn,F,13,2,1
ammonium,Sn,Cl,13,2,2
ammonium,Sn,Br,13,2,3
ammonium,Sn,I,13,2,4
ammonium,Pb,F,13,3,1
ammonium,Pb,Cl,13,3,2
ammonium,Pb,Br,13,3,3
ammonium,Pb,I,13,3,4
trimethylammonium,Ge,F,14,1,1
trimethylammonium,Ge,Cl,14,1,2
trimethylammonium,Ge,Br,14,1,3
trimethylammonium,Ge,I,14,1,4
trimethylammonium,Sn,F,14,2,1
trimethylammonium,Sn,Cl,14,2,2
trimethylammonium,Sn,Br,14,2,3
trimethylammonium,Sn,I,14,2,4
trimethylammonium,Pb,F,14,3,1
trimethylammonium,Pb,Cl,14,3,2
trimethylammonium,Pb,Br,14,3,3
trimethylammonium,Pb,I,14,3,4
azetidinium,Ge,F,15,1,1
azetidinium,Ge,Cl,15,1,2
azetidinium,Ge,Br,15,1,3
azetidinium,Ge,I,15,1,4
azetidinium,Sn,F,15,2,1
azetidinium,Sn,Cl,15,2,2
azetidinium,Sn,Br,15,2,3
azetidinium,Sn,I,15,2,4
azetidinium,Pb,F,15,3,1
azetidinium,Pb,Cl,15,3,2
azetidinium,Pb,Br,15,3,3
azetidinium,Pb,I,15,3,4
imidazolium,Ge,F,16,1,1
imidazolium,Ge,Cl,16,1,2
imidazolium,Ge,Br,16,1,3
imidazolium,Ge,I,16,1,4
imidazolium,Sn,F,16,2,1
imidazolium,Sn,Cl,16,2,2
imidazolium,Sn,Br,16,2,3
imidazolium,Sn,I,16,2,4
imidazolium,Pb,F,16,3,1
imidazolium,Pb,Cl,16,3,2
imidazolium,Pb,Br,16,3,3
imidazolium,Pb,I,16,3,4
