Params,Error
"[32, 0.78005469262519, 0.3066049405093704, 0.7933806535363161, 0.9293805779146357, 339.5039307483381, 0.6055684113823295, 0.12334392644915201]",name 'ShortCutDesign' is not defined
"[23, 0.7022098834080278, 0.1816986532322446, 0.16869329368635058, 0.02530982877454321, 316.69632479847314, 0.4027109113633874, 0.33520256777216273]",name 'ShortCutDesign' is not defined
"[37, 0.6383524750595211, 0.3826971609690138, 0.5906288681736506, 0.643331903639141, 280.58834614458203, 0.12285913100210116, 0.11901869455333577]",name 'ShortCutDesign' is not defined
"[31, 0.6806969681946603, 0.7121251291721383, 0.04066445988641692, 0.5332845933011566, 292.5362717784655, 0.8576896844673856, 0.28725883693419224]",name 'ShortCutDesign' is not defined
"[20, 0.1131580451058754, 0.17939545379298474, 0.3105264790837017, 0.15021877531159689, 326.8080339266611, 0.8010390472576685, 0.861274654177369]",name 'ShortCutDesign' is not defined
"[18, 0.6940803079298282, 0.13475985107864, 0.6158565900013877, 0.40204292504309325, 306.0884773053671, 0.26758400267056126, 0.9451092107161089]",name 'ShortCutDesign' is not defined
"[27, 0.30322443861905707, 0.2849988726033137, 0.49388009314269493, 0.6501983275220118, 291.5959142291972, 0.7803180906990176, 0.02481644395669621]",name 'ShortCutDesign' is not defined
"[49, 0.8638704349437049, 0.6112268598947896, 0.46612524811133593, 0.8515232278654227, 328.96735894437234, 0.43564199678418647, 0.9954966071109123]",name 'ShortCutDesign' is not defined
"[38, 0.3275814551594505, 0.3211036945808931, 0.7057631589014463, 0.8546917951488603, 304.5093498326273, 0.21992440739692906, 0.846041494252608]",name 'ShortCutDesign' is not defined
"[30, 0.3317304549398631, 0.3692036817356183, 0.418641808838099, 0.9545748217538754, 275.60099075374967, 0.8322846202486966, 0.6877080768623155]",name 'ShortCutDesign' is not defined
"[28, 0.5688056569161564, 0.4493970068283126, 0.010157928825903557, 0.9770953946426425, 287.02447271925416, 0.4490640515783667, 0.4494112647897913]",name 'ShortCutDesign' is not defined
"[42, 0.023647156627772618, 0.2501508361085984, 0.3517095870868874, 0.9649637081586747, 284.63036502968737, 0.5731529291761037, 0.24172533488274175]",name 'ShortCutDesign' is not defined
"[15, 0.49329399620129777, 0.30183799710840337, 0.6031963542996841, 0.6178619728065328, 327.44050889954804, 0.5155560532800316, 0.7403160549876743]",name 'ShortCutDesign' is not defined
"[35, 0.7912463339982398, 0.15684012725225333, 0.8407274148003399, 0.2697310696440292, 307.782875921582, 0.21412929909722553, 0.5236771802723422]",name 'ShortCutDesign' is not defined
"[35, 0.8086383363622582, 0.3395635644076807, 0.30795551733828813, 0.12375686754152045, 310.5235995862656, 0.033284038512374735, 0.7711952857430918]",name 'ShortCutDesign' is not defined
"[17, 0.9809816347429338, 0.3484171967195032, 0.5584752760484633, 0.7519375542729541, 292.66802862322555, 0.3039865178267922, 0.8262306296698946]",name 'ShortCutDesign' is not defined
"[14, 0.6136204472676734, 0.716035685097699, 0.9942974826813539, 0.9618739198669481, 302.96900033221306, 0.2764929138015746, 0.3822620951317118]",name 'ShortCutDesign' is not defined
"[21, 0.649470867555186, 0.38725336657025683, 0.18711741266767237, 0.8713956689020155, 275.57537417046416, 0.2610849939441072, 0.33589078986605125]",name 'ShortCutDesign' is not defined
"[37, 0.030219168861153892, 0.3456672266586884, 0.26008262455403813, 0.828500839831235, 321.2326367548827, 0.06315980465267089, 0.3926966746424627]",name 'ShortCutDesign' is not defined
"[26, 0.7419077482305093, 0.14700288992352253, 0.46258044184157693, 0.22973877432656137, 304.27422832235993, 0.1284232757398092, 0.42874852384514184]",name 'ShortCutDesign' is not defined
"[45, 0.6293442826590863, 0.17841561081022692, 0.5839839379399846, 0.02791491126308214, 275.4817903374627, 0.37440481961745814, 0.38925663969280344]",name 'ShortCutDesign' is not defined
"[16, 0.7582013891335587, 0.9261142065679495, 0.8288375530230716, 0.16079635003702486, 286.25907818481716, 0.8641372324689537, 0.562579333613273]",name 'ShortCutDesign' is not defined
"[30, 0.20547728414717437, 0.20413908668288688, 0.46657459324452205, 0.9363973791782411, 320.5826880574267, 0.9626430102230692, 0.22870833838690885]",name 'ShortCutDesign' is not defined
"[35, 0.8169917207925799, 0.7128322794461188, 0.4128742697314325, 0.8106326335775172, 300.93837940396475, 0.6208186428408579, 0.7535349034159695]",name 'ShortCutDesign' is not defined
"[47, 0.6935395739628955, 0.8976525150422517, 0.42887726230930007, 0.11113016593413087, 341.82990176384413, 0.9374325797707866, 0.588203377588425]",name 'ShortCutDesign' is not defined
"[34, 0.6484887453567838, 0.2826851893815615, 0.9001287669910208, 0.9097223985835415, 293.7898462148571, 0.6591624334252841, 0.7509208227682177]",name 'ShortCutDesign' is not defined
"[24, 0.12784991115062103, 0.3522967104497309, 0.7788143575314479, 0.3443411252630319, 319.5901162414604, 0.45683710168611275, 0.8471238531794661]",name 'ShortCutDesign' is not defined
"[32, 0.17808698301626713, 0.4135290930287015, 0.32816015854451763, 0.24831686258502772, 348.5492156376662, 0.4547493545333858, 0.34133780616143855]",name 'ShortCutDesign' is not defined
"[26, 0.6757275615787632, 0.14179011700754435, 0.8559227210493716, 0.09689120882615054, 334.81670925780736, 0.6604361457652714, 0.6440849745039283]",name 'ShortCutDesign' is not defined
"[33, 0.4297721795399049, 0.5519062835344397, 0.7203007013821789, 0.1821905480854515, 275.36615570304036, 0.5934659099981275, 0.863233132574635]",name 'ShortCutDesign' is not defined
"[24, 0.839440845443358, 0.09296028666991485, 0.33172365962778183, 0.577270391278906, 291.8480608246051, 0.9134659244344365, 0.4637307752269653]",name 'ShortCutDesign' is not defined
"[34, 0.9138995716672953, 0.10563452864610383, 0.20898861276632538, 0.09668133745270527, 293.33888911206833, 0.9668110105104887, 0.21661137356091265]",name 'ShortCutDesign' is not defined
"[10, 0.1974776210402566, 0.7099349909885175, 0.9444336804675907, 0.7854576802113973, 304.99044275450444, 0.9641788537126306, 0.4873882584038452]",name 'ShortCutDesign' is not defined
"[14, 0.1295741888748204, 0.49043926341538896, 0.8027983338462286, 0.4349917778678623, 287.5280410330556, 0.5735118379662557, 0.030991302587543287]",name 'ShortCutDesign' is not defined
"[18, 0.9399453820064996, 0.6839498271888568, 0.5655045870282224, 0.12835074931807297, 295.6643369544483, 0.9022536199838076, 0.12517960064497297]",name 'ShortCutDesign' is not defined
"[21, 0.1475765368146607, 0.30249676977510703, 0.7501961986725022, 0.9295908389327818, 291.16202055680867, 0.05622298615947981, 0.4271691325051184]",name 'ShortCutDesign' is not defined
"[40, 0.7777310131169144, 0.21365525149360995, 0.7883850861734482, 0.9542332985438297, 293.0905299745954, 0.6137768894655634, 0.12847194160646888]",name 'ShortCutDesign' is not defined
"[34, 0.7124004547579279, 0.5904342488332631, 0.10776167254798001, 0.582794633816736, 321.2173427835605, 0.953175983185577, 0.40212092623244566]",name 'ShortCutDesign' is not defined
"[28, 0.24693009750048475, 0.09778006967879921, 0.4515549566712745, 0.9349607880048854, 281.06642843434236, 0.43158437233066177, 0.7783521925185094]",name 'ShortCutDesign' is not defined
"[23, 0.7337149263775653, 0.7123238387719627, 0.7678777242589492, 0.7932357092449708, 311.44595053244416, 0.33141236651626976, 0.25046963954530505]",name 'ShortCutDesign' is not defined
"[29, 0.5345245892761481, 0.869557856640398, 0.5085240041891114, 0.3406989793534421, 317.71415683431354, 0.01849984315545798, 0.033723933382389375]",name 'ShortCutDesign' is not defined
"[35, 0.7724279824697696, 0.7555179390544614, 0.23011211713323979, 0.5256530438892572, 334.6104621360408, 0.059312068462078774, 0.510129155817835]",name 'ShortCutDesign' is not defined
"[13, 0.3174353262185525, 0.06319710321783358, 0.8485135417916686, 0.4229885429988475, 286.4573264287797, 0.0871523750576988, 0.3548786775478175]",name 'ShortCutDesign' is not defined
"[15, 0.9942879411285901, 0.3167823358519283, 0.02912791506203387, 0.27890500647972094, 323.19917801020296, 0.14758111386769482, 0.3128955236629389]",name 'ShortCutDesign' is not defined
"[25, 0.14559994889522154, 0.020604877082611807, 0.1872168436776674, 0.0666268829645477, 322.42670434215415, 0.08134363034789512, 0.6762929195420784]",name 'ShortCutDesign' is not defined
"[25, 0.4016319012551617, 0.9787907528836475, 0.08658630208030808, 0.6040083306115009, 274.18764610175145, 0.8208405550100417, 0.9560136025794802]",name 'ShortCutDesign' is not defined
"[16, 0.0015204373054704696, 0.7286343656770874, 0.6982683507614558, 0.5399133066863933, 296.98728208831005, 0.040320125681362555, 0.547862551951904]",name 'ShortCutDesign' is not defined
"[48, 0.11442177526421642, 0.7421113520777755, 0.9080637842969367, 0.7828976578349912, 292.745845659278, 0.2260428069966338, 0.25434399937661367]",name 'ShortCutDesign' is not defined
"[12, 0.035857682143631275, 0.019722269983179136, 0.37824816284698604, 0.8592201306527334, 312.706151517586, 0.42074942993509756, 0.37313922385346515]",name 'ShortCutDesign' is not defined
"[48, 0.2704159764953103, 0.8704813547062233, 0.2849482140121594, 0.44739400183208977, 290.97554967074325, 0.9176561054499501, 0.9603469499983177]",name 'ShortCutDesign' is not defined
"[43, 0.8985551167890403, 0.58286683248166, 0.44381965757153535, 0.3984169615665651, 329.27640159839643, 0.8038297859896164, 0.7857294392989677]",name 'ShortCutDesign' is not defined
"[14, 0.41762340412588567, 0.1772309260639415, 0.4956260801694283, 0.39201313774962393, 310.62429105840255, 0.3071428735942374, 0.8154597860493374]",name 'ShortCutDesign' is not defined
"[29, 0.43469620278518023, 0.30821033263689024, 0.695255910097761, 0.386938925588715, 336.49458137998533, 0.7899341940404324, 0.5236617621934274]",name 'ShortCutDesign' is not defined
"[32, 0.8898783503545191, 0.2600780578319733, 0.7205813455504052, 0.24745011153442192, 332.7646572619678, 0.3968688488727648, 0.1941070855590434]",name 'ShortCutDesign' is not defined
"[48, 0.4061694733511975, 0.03663219227159693, 0.034506985264580445, 0.37595389820118685, 328.47181313732784, 0.24312625250198278, 0.9736186833442877]",name 'ShortCutDesign' is not defined
"[42, 0.30936764734635713, 0.7017261608148172, 0.0864115580859507, 0.16843871051127743, 314.9736648383827, 0.282423558679855, 0.846773616700596]",name 'ShortCutDesign' is not defined
"[45, 0.741774087194732, 0.26407107385036244, 0.7262728896411867, 0.6643829691194634, 311.5400216105211, 0.7432125507092675, 0.8281794555279175]",name 'ShortCutDesign' is not defined
"[27, 0.6316700265568819, 0.15691795364381125, 0.14231920618930485, 0.4026147781355719, 309.9850024014863, 0.526333381302837, 0.6037410145244758]",name 'ShortCutDesign' is not defined
"[36, 0.62223877100129, 0.5496227751096181, 0.9105359038786665, 0.7099271853232798, 299.443317373313, 0.13660694151503963, 0.4027623247039211]",name 'ShortCutDesign' is not defined
"[15, 0.5527307538456773, 0.8575893859010985, 0.903381587113648, 0.9879627378533526, 301.9291079187527, 0.9729747056224967, 0.5319524644578582]",name 'ShortCutDesign' is not defined
"[20, 0.5436259597779235, 0.1254485506409081, 0.9842749066478871, 0.8092879514883178, 319.5379437037566, 0.9910162447258222, 0.6706762399005749]",name 'ShortCutDesign' is not defined
"[25, 0.028534414290802716, 0.4458472147499862, 0.1929271194695617, 0.8602330477171611, 276.85699725713596, 0.6968691029690303, 0.7011056789696829]",name 'ShortCutDesign' is not defined
"[46, 0.23631586526289133, 0.47118833859021025, 0.6994141107055797, 0.050850654621584786, 340.6978069800617, 0.4213895307147541, 0.6101313936221596]",name 'ShortCutDesign' is not defined
"[31, 0.5616448713377302, 0.6763942775064611, 0.8697375266069584, 0.028231507350216296, 342.99385362197967, 0.8753514844742208, 0.8088070492732573]",name 'ShortCutDesign' is not defined
"[18, 0.7212396105050388, 0.8617580000451563, 0.9446954282432234, 0.8143875452366589, 327.32465983460537, 0.6878651914420435, 0.30569734786878144]",name 'ShortCutDesign' is not defined
"[31, 0.17844806816436037, 0.7208953777019503, 0.027149232729244008, 0.07809702452120885, 286.3459097615129, 0.9147350342050546, 0.3594615900968913]",name 'ShortCutDesign' is not defined
"[18, 0.6636261192195003, 0.4956108996246228, 0.34202730377467505, 0.5342501232148971, 327.5571849694329, 0.5168384958036755, 0.5957445060963318]",name 'ShortCutDesign' is not defined
"[23, 0.7600479339449094, 0.47231453049225525, 0.41250739198645714, 0.4202771498400512, 285.1844149457963, 0.36207559837040243, 0.05956704943355196]",name 'ShortCutDesign' is not defined
"[47, 0.8556920922986856, 0.8469776797671376, 0.5188114365939751, 0.4068589857141997, 282.85954829859406, 0.6862231554526685, 0.4583348720918336]",name 'ShortCutDesign' is not defined
"[32, 0.21355809174067134, 0.6155563714776398, 0.9807513393741774, 0.022531370009221688, 278.61388585351426, 0.16856839472659657, 0.6516911250473004]",name 'ShortCutDesign' is not defined
"[10, 0.5135731482644893, 0.3267622728027325, 0.46494692587893455, 0.3938505906813414, 314.80742547726175, 0.2206690888514431, 0.5777191814270324]",name 'ShortCutDesign' is not defined
"[19, 0.49727024560871896, 0.750616485324802, 0.9868688200736006, 0.6771502456803751, 281.96292452082747, 0.8352287214643697, 0.8429567980388009]",name 'ShortCutDesign' is not defined
"[11, 0.6017568766187243, 0.5259173812891694, 0.6001308352713614, 0.6811321286240244, 314.80867873272075, 0.32392478073486497, 0.5534655186372219]",name 'ShortCutDesign' is not defined
"[42, 0.80523693641653, 0.10299037032901183, 0.4927907132525617, 0.22004153334363985, 347.9439944745351, 0.9680143209066937, 0.84723942403672]",name 'ShortCutDesign' is not defined
"[15, 0.6231256415285715, 0.7386941905371597, 0.10813231193968581, 0.3136610606652556, 324.0214960644516, 0.6901705970447436, 0.7420655851290578]",name 'ShortCutDesign' is not defined
"[12, 0.9003731646289911, 0.27535045597459823, 0.5389516826504298, 0.6375610879170311, 285.9293731352262, 0.8305860043547557, 0.8587130492633939]",name 'ShortCutDesign' is not defined
"[11, 0.031387540027975856, 0.3097521993554355, 0.7878271674661594, 0.591999797195922, 302.8770540644618, 0.46236862688037084, 0.5396459399675676]",name 'ShortCutDesign' is not defined
"[28, 0.6335611350886518, 0.7235070210240004, 0.08631509866479913, 0.5431769020844853, 347.9967014980462, 0.5467839627306907, 0.39127861011173737]",name 'ShortCutDesign' is not defined
"[35, 0.01078029588334534, 0.4092416711261566, 0.44071179910412356, 0.5510412018254707, 276.45899962699764, 0.916705077331285, 0.7022606896818449]",name 'ShortCutDesign' is not defined
"[30, 0.0001, 0.18685796625812415, 0.43175387787145003, 0.9483995611815714, 313.84479185519933, 0.24222815772138803, 0.8079775608195429]",name 'ShortCutDesign' is not defined
"[17, 0.07234314526529352, 0.7730414625320114, 0.36256636947352616, 0.6364841942569972, 337.3139766263912, 0.46205487298639064, 0.3348860795965886]",name 'ShortCutDesign' is not defined
"[46, 0.44908817204745055, 0.4234773856768051, 0.5583081204945428, 0.6675981231956123, 316.60366424437706, 0.03703997503122939, 0.5714065298242271]",name 'ShortCutDesign' is not defined
"[37, 0.5752853349587856, 0.6788533263891716, 0.9367890372072182, 0.24799562102585504, 300.7258089471052, 0.10583082751635295, 0.7949991246466098]",name 'ShortCutDesign' is not defined
"[46, 0.7895178302307889, 0.7059472924347723, 0.25614190622523847, 0.6366339368829176, 273.23833033615426, 0.7941898804715158, 0.3526722759923464]",name 'ShortCutDesign' is not defined
"[16, 0.17502969921089712, 0.8383401251978552, 0.8724990734724407, 0.2715135100685315, 317.35204235245004, 0.7690150763052869, 0.12677849841370126]",name 'ShortCutDesign' is not defined
"[44, 0.18707206836301501, 0.9920951505572708, 0.2859723542286517, 0.07676877918977298, 337.8955428309523, 0.6173471160336083, 0.34468114098921354]",name 'ShortCutDesign' is not defined
"[22, 0.2509540610821745, 0.934114596773959, 0.33250054827754133, 0.8935157466141589, 324.67110135148636, 0.8512970005375404, 0.8204041115019225]",name 'ShortCutDesign' is not defined
"[18, 0.6501897877786964, 0.37247133662185616, 0.019947864228452208, 0.6257739061106011, 297.9416032622889, 0.7472158624405438, 0.9567704961403685]",name 'ShortCutDesign' is not defined
"[28, 0.30926766806086875, 0.9550917341233168, 0.6668009545074968, 0.3867458842069407, 281.229000047174, 0.38599710014894667, 0.30298431708201184]",name 'ShortCutDesign' is not defined
"[18, 0.23578827962497456, 0.4852665098410123, 0.7664691801050494, 0.3914567311424446, 347.7328671743942, 0.06584620485697729, 0.024191366878430445]",name 'ShortCutDesign' is not defined
"[48, 0.005434188001379657, 0.9654465406382894, 0.42117439098598464, 0.253418611974415, 332.50462566217186, 0.04575685726447857, 0.05209508609952644]",name 'ShortCutDesign' is not defined
"[12, 0.9493025636575173, 0.036960219713437395, 0.31573864243601435, 0.9023864082565705, 281.0433303730993, 0.025157833339405317, 0.7932645588568987]",name 'ShortCutDesign' is not defined
"[28, 0.20880102070247808, 0.2859916970958026, 0.32888281448464957, 0.6081175484882361, 343.6204336738105, 0.4010938304153118, 0.287704417087644]",name 'ShortCutDesign' is not defined
"[32, 0.18026924458619822, 0.4398711348086417, 0.11771518481593354, 0.17731796515718776, 341.4830574341329, 0.07006329051781013, 0.9771715542185287]",name 'ShortCutDesign' is not defined
"[34, 0.9510405294679077, 0.38183853862802863, 0.9359674295538095, 0.7254045012724227, 283.8945295148349, 0.7533762518341094, 0.4662232823996929]",name 'ShortCutDesign' is not defined
"[33, 0.9394329354955604, 0.8876343147722713, 0.4264067309914238, 0.4888300496723665, 346.97841994103726, 0.6920234957400809, 0.2276120964014131]",name 'ShortCutDesign' is not defined
"[36, 0.926151481695633, 0.7856236028395364, 0.8072914274577093, 0.47946647050336016, 335.1761889734952, 0.871471262203658, 0.9020017593136557]",name 'ShortCutDesign' is not defined
"[45, 0.9603445578010805, 0.9270221775035687, 0.789790041113883, 0.45046686061235275, 282.4405417452524, 0.31772950518033444, 0.3382908708413812]",name 'ShortCutDesign' is not defined
"[13, 0.9032712560929071, 0.6192150458245168, 0.49152963021902407, 0.024344503779160316, 307.07060880681047, 0.5165010695705791, 0.4420796308631276]",name 'ShortCutDesign' is not defined
"[18, 0.38228303431634586, 0.23273907771056843, 0.7769783974442592, 0.01121419120174682, 299.56312424497116, 0.10699489617953004, 0.9328065582383357]",name 'ShortCutDesign' is not defined
"[29, 0.06450431984004393, 0.8679264265732776, 0.5424103253542684, 0.478765663643359, 330.95792052632396, 0.653390362990718, 0.5954346723037194]",name 'ShortCutDesign' is not defined
"[34, 0.7989593614762577, 0.29754784559893604, 0.07750460134111282, 0.026158850781935333, 332.52377839317063, 0.10994745012827846, 0.3482706143617149]",name 'ShortCutDesign' is not defined
"[21, 0.8700294620495491, 0.02107295313774033, 0.2241218745778531, 0.24404415707564314, 308.67358316238466, 0.6698812203825892, 0.7474726956101713]",name 'ShortCutDesign' is not defined
"[13, 0.3077369995174639, 0.8366036822538686, 0.25953677156044286, 0.6342467207371544, 331.8156835596631, 0.7400887016187242, 0.9287769435767836]",name 'ShortCutDesign' is not defined
"[35, 0.865554422072812, 0.8119258948650049, 0.15146355592447325, 0.04466963168537244, 308.8373085152495, 0.13871051271733947, 0.10270802905568703]",name 'ShortCutDesign' is not defined
"[24, 0.43869069965831736, 0.9450587064744937, 0.15731327824935168, 0.25889432553613373, 308.8586141731237, 0.35658182358195484, 0.5538463098589083]",name 'ShortCutDesign' is not defined
"[20, 0.8127514001837323, 0.3427726613080311, 0.33980471396606116, 0.7357266516349419, 304.9160540977616, 0.8074475932443409, 0.16496455775198884]",name 'ShortCutDesign' is not defined
"[12, 0.011317294195426436, 0.8939177112904368, 0.0969225414222936, 0.21832197815466525, 287.51472466420995, 0.07170373932620969, 0.6596848942234466]",name 'ShortCutDesign' is not defined
"[35, 0.3438868863073047, 0.9462040648879065, 0.515449651754529, 0.8288754803780168, 333.689593906815, 0.5232957999349562, 0.04206930375852978]",name 'ShortCutDesign' is not defined
"[27, 0.8974606286269935, 0.703291381654928, 0.45554668501357237, 0.4548165231372231, 306.0102546351786, 0.23250705268028968, 0.19379453038794986]",name 'ShortCutDesign' is not defined
"[24, 0.8740221339432487, 0.20893911196727766, 0.8603033435699747, 0.8055930113916557, 314.65786874603486, 0.06384794338210316, 0.5250528916755848]",name 'ShortCutDesign' is not defined
"[16, 0.17790113011831557, 0.15566798964801212, 0.9195025550716946, 0.4242686223383471, 349.1484718391602, 0.015621549950009571, 0.6096676787804757]",name 'ShortCutDesign' is not defined
"[22, 0.7974600535188925, 0.15361356294021292, 0.496894903462557, 0.6871862914202358, 276.4640772940037, 0.34283961729476076, 0.9373426181981374]",name 'ShortCutDesign' is not defined
"[31, 0.4754472883328899, 0.8657609168498919, 0.36054871642203173, 0.43540719356004765, 330.2046268590838, 0.11823883111989157, 0.1479648489333806]",name 'ShortCutDesign' is not defined
"[21, 0.5063259755104307, 0.7763600266026773, 0.5475217927878243, 0.363007501539082, 328.7752405715108, 0.20784857346137314, 0.7438892306475928]",name 'ShortCutDesign' is not defined
"[34, 0.5535233215019161, 0.6513823493820009, 0.7608653108539223, 0.28408044444561636, 279.1878451193946, 0.24494369426284238, 0.13147975862007458]",name 'ShortCutDesign' is not defined
"[39, 0.7193512139477962, 0.7283154690745918, 0.7797055431774279, 0.666487561775348, 342.7790531694859, 0.2409716964552593, 0.4855734714178801]",name 'ShortCutDesign' is not defined
"[24, 0.40941859957967675, 0.09654245093587437, 0.46696007411491725, 0.995055122767017, 300.40744697348595, 0.5494186434060524, 0.8360932266725684]",name 'ShortCutDesign' is not defined
"[22, 0.5052598502904021, 0.2198025376285769, 0.9946981760908221, 0.12242125832240935, 304.6854643249374, 0.5289140188754647, 0.6732731410254483]",name 'ShortCutDesign' is not defined
"[41, 0.4630112595609005, 0.996707864513162, 0.3949066010882437, 0.12655468101112077, 300.0939888910404, 0.6103508980842874, 0.8679875259413922]",name 'ShortCutDesign' is not defined
"[17, 0.5924863306254435, 0.7807135515444517, 0.24625049534960083, 0.9337913289222133, 280.9673305586784, 0.2610505999533773, 0.007654981324371994]",name 'ShortCutDesign' is not defined
"[41, 0.9179519004472961, 0.6278026019770973, 0.3418329288644802, 0.21905625942279794, 275.344717094263, 0.41990536363258496, 0.6781082935467074]",name 'ShortCutDesign' is not defined
"[18, 0.38304405170652744, 0.137755616877382, 0.3858300014923662, 0.48164366741584713, 277.46700324187356, 0.8311210428117456, 0.7562557421629352]",name 'ShortCutDesign' is not defined
"[49, 0.5076767068036706, 0.18126372090809853, 0.5740841423188336, 0.3474274262934617, 329.56652983012737, 0.6209068981617752, 0.30934847727100684]",name 'ShortCutDesign' is not defined
